id;created_at;etat;start_time;end_time
1;2021-04-05T18:04:45;ANNULEE;2021-04-05T22:11:11;2021-04-05T22:10:03
2;2021-04-06T04:51:12;ANNULEE;2021-04-06T11:34:37;2021-04-06T11:31:54
3;2021-04-06T08:32:28;TRAITEMENT;2021-04-06T04:28:42;2021-04-06T07:13:25
4;2021-04-06T01:21:48;TRAITEMENT;2021-04-05T18:06:59;2021-04-06T10:40:51
5;2021-04-06T15:06:03;CREE;2021-04-06T15:18:04;2021-04-06T07:58:23
6;2021-04-06T14:36:27;CREE;2021-04-05T22:46:34;2021-04-06T12:07:57
7;2021-04-06T11:49:57;ANNULEE;2021-04-06T16:25:37;2021-04-06T11:20:49
8;2021-04-06T13:57:02;FINALISEE;2021-04-05T19:15:09;2021-04-06T07:56:56
9;2021-04-06T08:12:34;FINALISEE;2021-04-05T21:26:23;2021-04-05T23:14:28
10;2021-04-06T08:35:59;FINALISEE;2021-04-06T10:08:45;2021-04-06T15:05:58
