id;nom_plat;description;prix;photo;photo_content_type
1;recontextualize;../fake-data/blob/hipster.txt;copy;../fake-data/blob/hipster.png;image/png
2;panel Table;../fake-data/blob/hipster.txt;Paix hacking;../fake-data/blob/hipster.png;image/png
3;Computers c Micronésie;../fake-data/blob/hipster.txt;Chips Account;../fake-data/blob/hipster.png;image/png
4;website extranet Bedfordshire;../fake-data/blob/hipster.txt;Saint-Bernard;../fake-data/blob/hipster.png;image/png
5;Buckinghamshire;../fake-data/blob/hipster.txt;cohesive Account c;../fake-data/blob/hipster.png;image/png
6;Avon Movies input;../fake-data/blob/hipster.txt;Franche-Comté a application;../fake-data/blob/hipster.png;image/png
7;Home a de;../fake-data/blob/hipster.txt;Centralized salmon auxiliary;../fake-data/blob/hipster.png;image/png
8;evolve;../fake-data/blob/hipster.txt;Plastic web-readiness;../fake-data/blob/hipster.png;image/png
9;Aquitaine upward-trending;../fake-data/blob/hipster.txt;connect firewall deposit;../fake-data/blob/hipster.png;image/png
10;Compatible;../fake-data/blob/hipster.txt;program Centralized;../fake-data/blob/hipster.png;image/png
