id;nom_resto;frais_livraison;adresse_resto;code_p_resto;ville_resto
1;initiative;Riel projection Rubber;Tunisian connect embrace;heuri;Compatible Avon revolutionize
2;Account Mouse b;SMTP Computer e-markets;Dominique;Visio;b
3;Designer;transmit b transitional;grey deposit deposit;synth;Aquitaine revolutionize de
4;Avon relationships compress;Cedi leverage Plastic;Credit;conne;transmitting b
5;maroon Euro;c RAM;Shoes;Produ;system
6;Account Côte deposit;Liberia Buckinghamshire;silver;hapti;synergies invoice open-source
7;Australie de recontextualize;Bedfordshire plug-and-play;bluetooth (E.M.U.-6);Saint;Sleek Advanced
8;Kids e-business;back-end du;Midi-Pyrénées;Ingen;parallelism des
9;Licensed SMTP Grocery;Soft parse;salmon d'Alésia;Assis;quantifying a
10;circuit b Automotive;b applications Toys;Frozen;Zadki;emulation Consultant
